"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Tue Aug 22 04:18:07 UTC 2023","Tue Aug 22 04:18:07 UTC 2023","1","","10. Client Portal - Account Dashboard","","","","1. Direct user to “Your Accounts” page",""
"passed","Tue Aug 22 03:58:37 UTC 2023","Tue Aug 22 03:58:59 UTC 2023","22034","","9. Client Portal - Home","","","","1. Check links",""
"passed","Tue Aug 22 05:04:13 UTC 2023","Tue Aug 22 05:04:16 UTC 2023","3559","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Tue Aug 22 03:43:13 UTC 2023","Tue Aug 22 03:43:17 UTC 2023","4120","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Tue Aug 22 02:52:06 UTC 2023","Tue Aug 22 02:52:16 UTC 2023","10224","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Tue Aug 22 05:29:11 UTC 2023","Tue Aug 22 05:29:13 UTC 2023","2646","","19. Look Up Investment Account","","","","3. Search Account ID 445",""
"passed","Tue Aug 22 03:44:01 UTC 2023","Tue Aug 22 03:44:04 UTC 2023","3348","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"skipped","Tue Aug 22 04:56:46 UTC 2023","Tue Aug 22 04:56:46 UTC 2023","1","","13. Client Portal - Change Portfolio","","","","3. Direct user to “Build Your Portfolio”",""
"passed","Tue Aug 22 04:37:32 UTC 2023","Tue Aug 22 04:37:34 UTC 2023","2143","","12. Client Portal - Forms","","","","4. Expand Personal Investment Forms",""
"skipped","Tue Aug 22 04:56:46 UTC 2023","Tue Aug 22 04:56:46 UTC 2023","0","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
